"Excel Table 3: Differentially methylatied positions (p < 0.05) within the Bangladesh 450K study. Models adjusted for age, smoking status, and estimated cell type proportions.",,,,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category,,
cg02030270,0.27,0.031,0.97,1.00,chr15,84215725,SH3GL3;SH3GL3,Body;Body,,
cg25634666,0.12,0.031,0.97,1.00,chr11,71846788,FOLR3;FOLR3,5'UTR;1stExon,,
cg13103303,0.34,0.031,0.97,1.00,chr11,71955113,PHOX2A;PHOX2A,1stExon;5'UTR,,
cg05468028,0.48,0.031,0.97,1.00,chr21,30391383,RWDD2B,Body,,
cg05139081,0.16,0.031,0.97,1.00,chr12,113706669,TPCN1;TPCN1,Body;Body,,
cg10524701,-0.21,0.031,0.97,1.00,chr7,117356490,CTTNBP2,Body,,
cg25031205,-0.18,0.031,0.97,1.00,chr1,1688976,NADK,Body,,
cg14595683,0.14,0.031,0.97,1.00,chr8,77592946,ZFHX4;LOC100192378,TSS1500;Body,,
cg02873391,-0.21,0.031,0.97,1.00,chr11,130470658,,,,
cg25640822,0.23,0.031,0.97,1.00,chr5,134871645,NEUROG1,TSS200,,
cg10645855,0.18,0.031,0.97,1.00,chr7,1443760,,,,
cg14982203,-0.42,0.031,0.97,1.00,chr14,90084444,FOXN3,5'UTR,,
cg16947583,-0.19,0.031,0.97,1.00,chr2,189352810,GULP1,Body,,
cg15319451,0.15,0.031,0.97,1.00,chr1,15480748,TMEM51;TMEM51;TMEM51;TMEM51,5'UTR;5'UTR;5'UTR;5'UTR,,
cg18532076,0.19,0.031,0.97,1.00,chr6,54711417,FAM83B,TSS200,,
cg08896387,-0.20,0.031,0.97,1.00,chr1,24191740,FUCA1,Body,,
cg10525432,-0.23,0.031,0.97,1.00,chr5,9540960,SEMA5A,5'UTR,,
cg11800832,0.48,0.031,0.97,1.00,chr19,40732305,CNTD2,1stExon,,
cg09734033,0.12,0.031,0.97,1.00,chr7,30630200,,,,
cg21723486,-0.23,0.031,0.97,1.00,chr3,189349323,TP63;TP63;TP63,1stExon;1stExon;1stExon,,
cg26111327,-0.16,0.031,0.97,1.00,chr3,195164931,ACAP2,TSS1500,,
cg00245538,0.20,0.031,0.97,1.00,chr13,61989770,PCDH20,TSS200,,
cg02176961,0.20,0.031,0.97,1.00,chr10,15130767,ACBD7;ACBD7,1stExon;5'UTR,,
cg11366788,-0.23,0.031,0.97,1.00,chr12,95397732,NDUFA12,TSS1500,,
cg04588079,0.23,0.031,0.97,1.00,chr12,13153012,HEBP1;HTR7P,1stExon;TSS1500,,
cg15294607,0.26,0.031,0.97,1.00,chr2,28613033,,,,
cg20080590,-0.19,0.031,0.97,1.00,chr4,24831413,CCDC149;CCDC149,Body;3'UTR,,
cg07669969,-0.21,0.031,0.97,1.00,chr5,60608527,,,,
cg16008979,-0.19,0.031,0.97,1.00,chr7,101427765,,,,
cg00997411,0.17,0.031,0.97,1.00,chr1,205290916,NUAK2,TSS200,,
cg21429105,0.18,0.031,0.97,1.00,chr2,27290873,AGBL5,Body,,
cg10625096,-0.24,0.031,0.97,1.00,chr6,29518072,,,,
cg05093576,-0.26,0.031,0.97,1.00,chr17,54263750,ANKFN1,Body,,
cg20761450,0.12,0.031,0.97,1.00,chr22,33195657,SYN3;TIMP3;SYN3;SYN3,Body;TSS1500;Body;Body,,
cg25232745,-0.13,0.031,0.97,1.00,chr20,271422,C20orf96,TSS200,,
cg07064406,0.12,0.031,0.97,1.00,chr20,43513064,YWHAB;YWHAB,TSS1500;TSS1500,,
cg21682902,0.15,0.031,0.97,1.00,chr12,96390960,HAL,TSS1500,,
cg05972889,-0.18,0.031,0.97,1.00,chr16,46873954,,,,
cg12494683,0.11,0.031,0.97,1.00,chr12,117036721,,,,
cg16949120,0.30,0.031,0.97,1.00,chr10,134599783,NKX6-2,TSS1500,,
cg12751005,-0.18,0.031,0.97,1.00,chr7,50634170,DDC,TSS1500,,
cg09147777,0.14,0.031,0.97,1.00,chr11,105480771,GRIA4;GRIA4;GRIA4;GRIA4,TSS200;TSS200;TSS200;TSS1500,,
cg01229860,0.21,0.031,0.97,1.00,chr7,96634623,DLX6AS;DLX6,Body;TSS1500,,
cg03181340,-0.14,0.031,0.97,1.00,chr7,1442325,,,,
cg24205914,0.21,0.031,0.97,1.00,chr10,62761575,RHOBTB1;RHOBTB1,TSS1500;TSS1500,,
cg10752406,0.11,0.031,0.97,1.00,chr19,827776,AZU1,TSS200,,
cg02315870,-0.11,0.031,0.97,1.00,chr7,26236721,HNRNPA2B1;HNRNPA2B1,Body;Body,,
cg11740138,-0.15,0.031,0.97,1.00,chr3,181669177,,,,
cg07170533,0.15,0.031,0.97,1.00,chr14,104028616,BAG5;BAG5;BAG5;BAG5;C14orf153,1stExon;5'UTR;TSS200;5'UTR;TSS1500,,
cg00474328,0.16,0.031,0.97,1.00,chr6,50811836,TFAP2B,3'UTR,,
cg01729837,0.15,0.031,0.97,1.00,chr19,719622,PALM;PALM,Body;Body,,
cg15381609,0.17,0.031,0.97,1.00,chr10,131361177,MGMT,Body,,
cg02997086,0.17,0.031,0.97,1.00,chr17,40169862,DNAJC7;DNAJC7;DNAJC7;NKIRAS2,TSS1500;TSS200;TSS200;5'UTR,,
cg22709307,0.14,0.031,0.97,1.00,chr20,982768,RSPO4;RSPO4,1stExon;1stExon,,
cg08639402,-0.14,0.031,0.97,1.00,chr6,17600538,FAM8A1;FAM8A1,5'UTR;1stExon,,
cg09801837,-0.19,0.031,0.97,1.00,chr1,44567128,,,,
cg06242102,0.22,0.031,0.97,1.00,chr7,157561010,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,,
cg18924816,-0.18,0.031,0.97,1.00,chr14,103388762,AMN,TSS1500,,
cg09816403,-0.12,0.031,0.97,1.00,chr17,7402445,POLR2A,Body,,
cg04525476,-0.13,0.031,0.97,1.00,chr5,172198714,DUSP1,TSS1500,,
cg08004425,0.26,0.031,0.97,1.00,chr1,37499547,GRIK3,Body,,
cg02641917,-0.21,0.031,0.97,1.00,chr2,198127245,,,,
cg14039909,0.12,0.031,0.97,1.00,chr11,76433293,GUCY2E,TSS1500,,
cg25157107,0.35,0.031,0.97,1.00,chr6,28979424,,,,
cg13141289,0.15,0.031,0.97,1.00,chr15,49339044,SECISBP2L,TSS1500,,
cg07896735,-0.16,0.031,0.97,1.00,chr9,124030508,GSN;GSN;GSN;GSN;GSN;GSN;GSN,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,,
cg03749207,-1.15,0.031,0.97,1.00,chr16,857863,PRR25,Body,,
cg03661929,-0.22,0.031,0.97,1.00,chr3,116503715,,,,
cg25028079,-0.15,0.031,0.97,1.00,chr2,178042585,,,,
cg05047521,-0.20,0.031,0.97,1.00,chr12,2032495,,,,
cg14490447,-0.14,0.031,0.97,1.00,chr9,34326608,KIF24,5'UTR,,
cg00796821,-0.16,0.031,0.97,1.00,chr7,128551757,KCP;KCP,TSS1500;TSS1500,,
cg01338430,0.27,0.031,0.97,1.00,chr16,2961485,FLYWCH1;FLYWCH1,TSS1500;TSS1500,,
cg11009066,0.12,0.031,0.97,1.00,chr13,25592074,,,,
cg13440641,0.22,0.031,0.97,1.00,chr7,86782580,DMTF1;DMTF1;DMTF1;DMTF1;DMTF1,5'UTR;5'UTR;Body;Body;5'UTR,,
cg08399308,-0.14,0.031,0.97,1.00,chr4,83506843,,,,
cg06772742,-0.27,0.031,0.97,1.00,chr1,177980492,,,,
cg14778267,-0.22,0.031,0.97,1.00,chr1,240506799,FMN2,Body,,
cg11287903,0.15,0.031,0.97,1.00,chr10,115613834,DCLRE1A;NHLRC2;DCLRE1A,5'UTR;TSS1500;1stExon,,
cg03369269,0.28,0.031,0.97,1.00,chr13,25745946,FAM123A;FAM123A,TSS200;TSS200,,
cg23759823,-0.21,0.031,0.97,1.00,chr7,139672531,TBXAS1;TBXAS1;TBXAS1;TBXAS1;TBXAS1;TBXAS1,Body;Body;Body;Body;Body;Body,,
cg13909895,0.44,0.031,0.97,1.00,chr22,51066142,ARSA;ARSA;ARSA;ARSA;ARSA,1stExon;Body;Body;Body;5'UTR,,
cg25589945,0.25,0.031,0.97,1.00,chr2,46429383,,,,
cg13985817,0.23,0.031,0.97,1.00,chr4,56685845,LOC644145,TSS1500,,
cg01883591,0.34,0.031,0.97,1.00,chr17,57970985,TUBD1;RPS6KB1,TSS1500;Body,,
cg17565078,0.65,0.031,0.97,1.00,chr13,27334723,GPR12;GPR12,1stExon;5'UTR,,
cg10692118,-0.14,0.031,0.97,1.00,chr17,43299500,FMNL1,1stExon,,
cg01904243,0.16,0.031,0.97,1.00,chr14,74251254,C14orf43,5'UTR,,
cg14790739,0.15,0.031,0.97,1.00,chr12,123750827,CDK2AP1,Body,,
cg10980774,0.36,0.031,0.97,1.00,chr11,112832547,NCAM1;NCAM1;NCAM1,Body;Body;Body,,
cg01637789,-0.22,0.031,0.97,1.00,chr15,39875777,THBS1,Body,,
cg07851632,-0.21,0.031,0.97,1.00,chr5,140682503,SLC25A2;SLC25A2,1stExon;3'UTR,,
cg10961249,-0.22,0.031,0.97,1.00,chr1,2436883,PLCH2,3'UTR,,
cg21523574,-0.26,0.031,0.97,1.00,chr14,23595597,SLC7A8;SLC7A8,3'UTR;3'UTR,,
cg19099281,0.15,0.031,0.97,1.00,chr15,83621006,HOMER2;HOMER2;HOMER2;HOMER2,Body;Body;Body;Body,,
cg27080119,-0.18,0.032,0.97,1.00,chr4,120987409,MAD2L1,Body,,
cg11863536,0.26,0.032,0.97,1.00,chr19,10543050,PDE4A;PDE4A;PDE4A,Body;TSS200;Body,,
cg13823553,0.39,0.032,0.97,1.00,chr15,56034801,PRTG,Body,,
cg22001782,0.21,0.032,0.97,1.00,chr1,147013236,BCL9;BCL9,1stExon;5'UTR,,
cg25535587,0.29,0.032,0.97,1.00,chr10,82116456,DYDC2;DYDC1,TSS200;5'UTR,,
cg16311773,0.19,0.032,0.97,1.00,chr6,167313693,,,,
cg12282830,-0.25,0.032,0.97,1.00,chr22,29784441,AP1B1;AP1B1;AP1B1;AP1B1;AP1B1;AP1B1,1stExon;5'UTR;1stExon;5'UTR;1stExon;5'UTR,,
cg07955995,0.32,0.032,0.97,1.00,chr7,130419159,KLF14,TSS1500,,
cg14195103,-0.15,0.032,0.97,1.00,chr17,73283583,SLC25A19;SLC25A19;SLC25A19,5'UTR;5'UTR;5'UTR,,
cg10767045,0.17,0.032,0.97,1.00,chr10,89264128,MINPP1,TSS200,,
cg02130404,-0.26,0.032,0.97,1.00,chr14,28314922,,,,
cg16862319,-0.27,0.032,0.97,1.00,chr12,13899195,GRIN2B,Body,,
cg14941541,-0.22,0.032,0.97,1.00,chr14,25520721,,,,
cg10742225,-0.17,0.032,0.97,1.00,chr17,39662980,KRT13;KRT13,TSS1500;TSS1500,,
cg12094552,-0.16,0.032,0.97,1.00,chr21,46449961,,,,
cg09123298,0.12,0.032,0.97,1.00,chr11,32008659,,,,
cg22935317,-0.11,0.032,0.97,1.00,chr14,23447078,JUB;JUB,Body;TSS1500,,
cg10273210,-0.11,0.032,0.97,1.00,chr3,160167665,TRIM59,TSS200,,
cg12900942,-0.13,0.032,0.97,1.00,chr1,36689399,THRAP3,TSS1500,,
cg04997435,-0.18,0.032,0.97,1.00,chr5,153588790,GALNT10,Body,,
cg13163729,0.14,0.032,0.97,1.00,chr2,45169447,SIX3,1stExon,,
cg06663068,-0.12,0.032,0.97,1.00,chr3,9994061,PRRT3;PRRT3,1stExon;5'UTR,,
cg27544001,0.15,0.032,0.97,1.00,chr10,135008764,KNDC1,Body,,
cg02693870,-0.19,0.032,0.97,1.00,chr16,55689324,SLC6A2,TSS1500,,
cg18488157,0.57,0.032,0.97,1.00,chr6,29521598,,,,
cg06818515,0.12,0.032,0.97,1.00,chr16,2944443,FLYWCH2;FLYWCH2;FLYWCH2,5'UTR;5'UTR;5'UTR,,
cg13181026,-0.18,0.032,0.97,1.00,chr6,159692484,FNDC1,3'UTR,,
cg08354309,-0.15,0.032,0.97,1.00,chr15,59063586,FAM63B;FAM63B;FAM63B;FAM63B,1stExon;5'UTR;1stExon;5'UTR,,
cg10129884,-0.28,0.032,0.97,1.00,chr16,65794720,,,,
cg07196124,-0.15,0.032,0.97,1.00,chr7,107220372,BCAP29;BCAP29;BCAP29,TSS200;TSS200;TSS1500,,
cg14489801,0.17,0.032,0.97,1.00,chr10,103603810,KCNIP2;KCNIP2;KCNIP2;KCNIP2;KCNIP2;KCNIP2,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,,
cg09236284,-0.26,0.032,0.97,1.00,chr7,97361114,TAC1;TAC1;TAC1;TAC1,TSS200;TSS200;TSS200;TSS200,,
cg03722295,-0.24,0.032,0.97,1.00,chr19,10519375,,,,
cg14756795,-0.15,0.032,0.97,1.00,chr6,31621299,BAT3;BAT3;BAT3;BAT3,TSS1500;TSS1500;TSS1500;TSS1500,,
cg18734472,-0.12,0.032,0.97,1.00,chr11,67326225,,,,
cg22476504,-0.20,0.032,0.97,1.00,chr2,42277840,PKDCC,Body,,
cg09927529,0.14,0.032,0.97,1.00,chr12,10365082,GABARAPL1,TSS1500,,
cg13677571,0.24,0.032,0.97,1.00,chr7,155250210,EN2,TSS1500,,
cg23552440,0.12,0.032,0.97,1.00,chr17,53224820,STXBP4,Body,,
cg13813874,-0.11,0.032,0.97,1.00,chr22,20849595,KLHL22,5'UTR,,
cg05511722,0.19,0.032,0.97,1.00,chr8,55379566,,,,
cg21746573,0.11,0.032,0.97,1.00,chr2,45882221,PRKCE,Body,,
cg09430118,0.20,0.032,0.97,1.00,chr19,37095681,ZNF529;ZNF529;ZNF529;ZNF382,Body;5'UTR;5'UTR;TSS1500,,
cg15077643,0.12,0.032,0.97,1.00,chr2,204209993,ABI2,Body,,
cg02161478,0.24,0.032,0.97,1.00,chr14,57279669,OTX2OS1,TSS1500,,
cg13207733,-0.17,0.032,0.97,1.00,chr7,45232211,,,,
cg22960971,-0.18,0.032,0.97,1.00,chr20,5099001,PCNA;PCNA,Body;Body,,
cg04200835,-0.11,0.032,0.97,1.00,chr16,31106277,VKORC1;VKORC1,TSS200;TSS200,,
cg06500727,0.17,0.032,0.97,1.00,chr2,1417164,TPO;TPO;TPO;TPO,TSS1500;TSS200;TSS200;TSS1500,,
cg12509524,-0.18,0.032,0.97,1.00,chr2,54684134,SPTBN1,5'UTR,,
cg00734471,-0.18,0.032,0.97,1.00,chr8,102110139,,,,
cg09532284,0.39,0.032,0.97,1.00,chr4,16084247,PROM1;PROM1,5'UTR;5'UTR,,
cg17326855,0.13,0.032,0.97,1.00,chr1,118435653,GDAP2;GDAP2,Body;Body,,
cg09230667,-0.12,0.032,0.97,1.00,chr1,3436115,MEGF6,Body,,
cg19370715,-0.33,0.032,0.97,1.00,chr1,10710847,CASZ1;CASZ1,Body;Body,,
cg18318006,-0.19,0.032,0.97,1.00,chr10,97169147,SORBS1;SORBS1;SORBS1;SORBS1;SORBS1;SORBS1;SORBS1,Body;Body;Body;Body;Body;Body;Body,,
cg14235273,-0.18,0.032,0.97,1.00,chr17,47295142,ABI3;ABI3,Body;Body,,
cg13364410,-0.11,0.032,0.97,1.00,chr19,19373755,HAPLN4,TSS200,,
cg10440196,0.11,0.032,0.97,1.00,chr8,140931443,TRAPPC9;TRAPPC9,Body;Body,,
cg13830624,0.17,0.032,0.97,1.00,chr6,56112291,COL21A1;COL21A1,5'UTR;1stExon,,
cg13726682,0.32,0.032,0.97,1.00,chr17,29718306,RAB11FIP4,TSS1500,,
cg24478803,-0.16,0.032,0.97,1.00,chr2,26786046,C2orf70,Body,,
cg09852007,-0.23,0.032,0.97,1.00,chr3,134092862,AMOTL2,5'UTR,,
cg07628233,0.28,0.032,0.97,1.00,chr6,33359543,KIFC1;KIFC1,5'UTR;1stExon,,
cg26697158,0.15,0.032,0.97,1.00,chr15,48442242,MYEF2,Body,,
cg22191696,0.37,0.032,0.97,1.00,chr17,71948849,,,,
cg05842815,-0.17,0.032,0.97,1.00,chr5,440159,,,,
cg01408486,0.10,0.032,0.97,1.00,chr5,139027024,CXXC5,TSS1500,,
cg02657401,0.21,0.032,0.97,1.00,chr19,22469223,,,,
cg06905726,-0.12,0.032,0.97,1.00,chr19,18210017,MAST3,Body,,
cg23192873,0.13,0.032,0.97,1.00,chr7,91809044,,,,
cg22749855,-0.20,0.032,0.97,1.00,chr17,76353952,SOCS3,3'UTR,,
cg05184377,0.12,0.032,0.97,1.00,chr10,50976646,,,,
cg13247663,0.26,0.032,0.97,1.00,chr8,59058254,FAM110B,5'UTR,,
cg13404054,0.29,0.032,0.97,1.00,chr19,15311666,NOTCH3,1stExon,,
cg09008179,-0.16,0.032,0.97,1.00,chr5,141707805,,,,
cg21493583,0.20,0.032,0.97,1.00,chr2,46842958,PIGF;CRIPT;PIGF,5'UTR;TSS1500;5'UTR,,
cg06832853,-0.12,0.032,0.97,1.00,chr11,31892855,,,,
cg22340747,-0.19,0.032,0.97,1.00,chr15,45683210,,,,
cg11434468,0.15,0.032,0.97,1.00,chr8,11059277,XKR6,TSS1500,,
cg18263591,-0.15,0.032,0.97,1.00,chr11,3638352,,,,
cg23273694,0.31,0.032,0.97,1.00,chr7,151137162,CRYGN,TSS200,,
cg26943082,0.17,0.032,0.97,1.00,chr6,31802422,C6orf48;SNORD48;C6orf48,TSS1500;TSS1500;TSS1500,,
cg11215976,0.30,0.032,0.97,1.00,chr1,236849942,ACTN2;ACTN2,1stExon;5'UTR,,
cg01092108,-0.23,0.032,0.97,1.00,chr5,33362853,,,,
cg15336765,0.35,0.032,0.97,1.00,chr12,50355307,AQP5;AQP5,1stExon;5'UTR,,
cg10985158,-0.13,0.032,0.97,1.00,chr1,201689688,NAV1,Body,,
cg25518170,-0.22,0.032,0.97,1.00,chr5,493308,SLC9A3,Body,,
cg06810986,0.20,0.032,0.97,1.00,chr16,85394259,,,,
cg01623261,0.24,0.032,0.97,1.00,chr17,79377850,BAHCC1,Body,,
cg07979034,0.11,0.032,0.97,1.00,chr15,65648490,IGDCC3,Body,,
cg11209249,0.17,0.032,0.97,1.00,chr3,138153127,ESYT3,TSS1500,,
cg24476165,-0.16,0.032,0.97,1.00,chr8,131234799,ASAP1,Body,,
cg10978719,-0.24,0.032,0.97,1.00,chr15,56992113,ZNF280D;ZNF280D;ZNF280D,Body;3'UTR;Body,,
cg08557970,0.12,0.032,0.97,1.00,chr6,166856094,RPS6KA2;RPS6KA2,Body;Body,,
cg01001924,-0.12,0.032,0.97,1.00,chr19,50834408,,,,
cg07748741,0.21,0.032,0.97,1.00,chr10,99330056,UBTD1,Body,,
cg00444884,0.15,0.032,0.97,1.00,chr22,48886784,FAM19A5,Body,,
cg27353381,0.19,0.032,0.97,1.00,chr11,1221141,,,,
cg20049727,0.16,0.032,0.97,1.00,chr4,1981032,WHSC1;WHSC1;WHSC1;WHSC1,3'UTR;3'UTR;3'UTR;3'UTR,,
cg12662931,0.23,0.032,0.97,1.00,chr2,183944048,DUSP19;DUSP19,Body;Body,,
cg22040381,0.13,0.032,0.97,1.00,chr1,160865146,,,,
cg26194477,0.17,0.032,0.97,1.00,chr14,29234890,FOXG1,TSS1500,,
cg24868028,0.19,0.032,0.97,1.00,chr2,46844460,PIGF;PIGF;CRIPT,TSS1500;TSS1500;Body,,
cg02943336,0.14,0.032,0.97,1.00,chr7,2959067,CARD11,Body,,
cg02719359,-0.16,0.032,0.97,1.00,chr16,30411426,,,,
cg15830509,0.18,0.032,0.97,1.00,chr12,54367008,HOXC11;HOXC11,5'UTR;1stExon,,
cg25196203,-0.20,0.032,0.97,1.00,chr5,33933894,,,,
cg19843939,0.70,0.032,0.97,1.00,chr5,118691561,TNFAIP8;TNFAIP8,Body;TSS200,,
cg13022222,0.12,0.032,0.97,1.00,chr2,102404865,MAP4K4;MAP4K4;MAP4K4,Body;Body;Body,,
cg14884776,0.13,0.032,0.97,1.00,chr19,15122181,CCDC105,1stExon,,
cg00935967,0.13,0.032,0.97,1.00,chr1,3822762,LOC100133612,Body,,
cg06022942,0.34,0.032,0.97,1.00,chr10,8095484,FLJ45983;GATA3;GATA3;FLJ45983,TSS200;TSS1500;TSS1500;TSS200,,
cg09934219,-0.15,0.032,0.97,1.00,chr15,79254338,RASGRF1;RASGRF1;RASGRF1,3'UTR;3'UTR;3'UTR,,
cg11333886,0.24,0.032,0.97,1.00,chr11,117668042,DSCAML1,TSS200,,
cg09657431,0.25,0.032,0.97,1.00,chr17,38451686,CDC6,Body,,
cg00670942,-0.17,0.032,0.97,1.00,chr17,74836683,,,,
cg09364426,-0.27,0.032,0.97,1.00,chr1,163201346,,,,
cg07496687,-0.16,0.032,0.97,1.00,chr22,22236176,,,,
cg19322969,0.16,0.032,0.97,1.00,chr1,226854847,ITPKB,Body,,
cg03635649,0.14,0.032,0.97,1.00,chr5,41510801,PLCXD3,TSS200,,
cg26400840,0.13,0.032,0.97,1.00,chr8,23081904,TNFRSF10A,Body,,
cg10749413,0.20,0.032,0.97,1.00,chr19,1041020,ABCA7,5'UTR,,
cg00213967,-0.20,0.032,0.97,1.00,chr3,12851900,CAND2;CAND2,Body;Body,,
cg05027594,0.28,0.032,0.97,1.00,chr4,16225910,TAPT1,Body,,
cg08649201,0.15,0.032,0.97,1.00,chr6,6004464,NRN1,Body,,
cg15461335,0.19,0.032,0.97,1.00,chr13,88324432,SLITRK5,TSS1500,,
cg15446845,-0.20,0.032,0.97,1.00,chr3,5470909,,,,
cg02299205,-0.12,0.032,0.97,1.00,chr12,9102283,M6PR,TSS200,,
cg22381248,-0.13,0.032,0.97,1.00,chr1,42003713,HIVEP3;HIVEP3,Body;Body,,
cg02455203,0.12,0.032,0.97,1.00,chr18,76782895,,,,
cg07972632,0.17,0.032,0.97,1.00,chr7,1280365,,,,
cg09671810,0.28,0.032,0.97,1.00,chr11,94501636,AMOTL1;AMOTL1,1stExon;5'UTR,,
cg20482698,0.27,0.032,0.97,1.00,chr1,236849994,ACTN2,1stExon,,
cg05547221,0.16,0.032,0.97,1.00,chr3,32534288,CMTM6,Body,,
cg10495931,0.11,0.032,0.97,1.00,chr16,72232102,,,,
cg02646423,0.25,0.032,0.97,1.00,chr7,27183794,HOXA5,TSS1500,,
cg12634602,0.14,0.032,0.97,1.00,chr6,149554024,,,,
cg10011083,0.15,0.032,0.97,1.00,chr7,55639278,VOPP1,Body,,
cg21087016,0.14,0.032,0.97,1.00,chr17,79658809,HGS,Body,,
cg21937660,-0.14,0.032,0.97,1.00,chr17,71643137,,,,
cg06400428,0.46,0.032,0.97,1.00,chr10,102107666,SCD,Body,,
cg15391452,0.11,0.032,0.97,1.00,chr11,134287719,,,,
cg06614436,-0.11,0.032,0.97,1.00,chr3,179065438,MFN1,TSS200,,
cg14080448,-0.17,0.032,0.97,1.00,chr13,45478250,,,,
cg12839363,0.15,0.032,0.97,1.00,chr11,12650181,,,,
cg23281154,0.31,0.032,0.97,1.00,chr6,72130547,C6orf155,TSS200,,
cg27177709,-0.18,0.032,0.97,1.00,chr15,80264770,BCL2A1;BCL2A1,TSS1500;TSS1500,,
cg10608799,0.19,0.032,0.97,1.00,chr17,7496086,FXR2,Body,,
cg09284708,0.13,0.032,0.97,1.00,chr6,39901897,MOCS1;MOCS1,Body;Body,,
cg01499172,0.25,0.032,0.97,1.00,chr6,39759941,DAAM2,TSS1500,,
cg16583536,-0.12,0.032,0.97,1.00,chr1,22282684,,,,
cg17343671,0.21,0.032,0.97,1.00,chr3,141208908,RASA2,Body,,
cg15375311,-0.16,0.032,0.97,1.00,chr4,25621615,,,,
cg23234832,0.34,0.032,0.97,1.00,chr3,24536323,THRB;THRB;THRB,TSS200;TSS200;TSS200,,
cg26961332,0.21,0.032,0.97,1.00,chr19,18420631,LSM4,Body,,
cg15293422,-0.31,0.032,0.97,1.00,chr2,37897716,CDC42EP3,5'UTR,,
cg21436572,0.29,0.032,0.97,1.00,chr8,70623422,SLCO5A1;SLCO5A1;SLCO5A1,Body;Body;Body,,
cg12707833,-0.14,0.032,0.97,1.00,chr6,31504659,BAT1;SNORD117;BAT1,Body;TSS1500;Body,,
cg21716804,0.19,0.032,0.97,1.00,chr11,27493530,LGR4,Body,,
cg20724681,-0.39,0.032,0.97,1.00,chr4,99182416,RAP1GDS1;RAP1GDS1;RAP1GDS1;RAP1GDS1;RAP1GDS1;RAP1GDS1,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,,
cg17206748,-0.25,0.032,0.97,1.00,chr3,186370508,FETUB,3'UTR,,
cg00199753,-0.18,0.032,0.97,1.00,chr12,113519288,DTX1,Body,,
cg00418027,0.17,0.032,0.97,1.00,chr9,96716998,BARX1,Body,,
cg17024643,0.13,0.032,0.97,1.00,chr1,214725274,PTPN14,TSS1500,,
cg17971747,0.15,0.032,0.97,1.00,chr15,45410236,DUOXA1;DUOXA2,Body;3'UTR,,
cg27587063,-0.16,0.032,0.97,1.00,chr1,1912065,KIAA1751,Body,,
cg16113021,-0.15,0.032,0.97,1.00,chr7,34191722,BMPER,Body,,
cg05770947,0.10,0.032,0.97,1.00,chr12,40280075,SLC2A13,Body,,
cg03888223,-0.13,0.032,0.97,1.00,chr13,51633010,GUCY1B2,Body,,
cg10409131,0.17,0.032,0.97,1.00,chr4,25915609,C4orf52,TSS1500,,
cg27120543,-0.21,0.032,0.97,1.00,chr7,15555129,TMEM195,Body,,
cg27269110,-0.16,0.032,0.97,1.00,chr6,154754755,CNKSR3,Body,,
cg17422088,0.18,0.032,0.97,1.00,chr1,33742356,ZNF362,Body,,
cg01060409,-0.27,0.032,0.97,1.00,chr12,131355340,RAN,TSS1500,,
cg19948393,-0.20,0.032,0.97,1.00,chr12,52281810,ANKRD33;ANKRD33;ANKRD33;ANKRD33,1stExon;5'UTR;1stExon;5'UTR,,
cg00547530,-0.13,0.032,0.97,1.00,chr16,3559687,CLUAP1;CLUAP1,Body;TSS1500,,
cg03721017,-0.14,0.032,0.97,1.00,chr19,18558309,ELL,Body,,
cg24416513,0.40,0.032,0.97,1.00,chr2,176994764,HOXD8;HOXD8,5'UTR;1stExon,,
cg10024063,0.17,0.032,0.97,1.00,chr11,119020486,ABCG4;ABCG4,5'UTR;5'UTR,,
cg10464529,0.13,0.032,0.97,1.00,chr16,58030730,ZNF319,Body,,
cg18093751,0.23,0.032,0.97,1.00,chr6,108487183,NR2E1,TSS200,,
cg02108731,0.12,0.032,0.97,1.00,chr22,50297217,ALG12,3'UTR,,
cg16584573,0.37,0.032,0.97,1.00,chr10,103535637,FGF8;FGF8;FGF8;FGF8,1stExon;1stExon;1stExon;1stExon,,
cg04876582,-0.16,0.032,0.97,1.00,chr10,127864751,ADAM12;ADAM12,Body;Body,,
cg18974903,0.13,0.032,0.97,1.00,chr8,9621167,TNKS,Body,,
cg18213931,0.16,0.032,0.97,1.00,chr6,35995246,MAPK14;MAPK14;MAPK14;MAPK14,TSS1500;TSS1500;TSS1500;TSS1500,,
cg23813313,0.24,0.032,0.97,1.00,chr6,26572433,,,,
cg06716358,0.22,0.032,0.97,1.00,chr17,79204738,C17orf56,Body,,
cg07529675,0.13,0.032,0.97,1.00,chr15,22956051,CYFIP1;CYFIP1;CYFIP1,Body;5'UTR;1stExon,,
cg13175480,-0.21,0.032,0.97,1.00,chr15,83680325,C15orf40;C15orf40;C15orf40;C15orf40;C15orf40;C15orf40;C15orf40,1stExon;1stExon;Body;1stExon;1stExon;1stExon;Body,,
cg14096229,-0.22,0.032,0.97,1.00,chr6,32374493,BTNL2,Body,,
cg00647863,-0.17,0.032,0.97,1.00,chr15,101472753,LRRK1,Body,,
cg14446658,-0.14,0.032,0.97,1.00,chr5,6845744,,,,
