"Excel Table 7: Differentially variable positions (p < 0.05) within the Bangladesh 450K study. Models adjusted for age, smoking status, and estimated cell type proportions.",,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category
cg20142535,0.08,0.028,1.000,1.00,chr1,203097628,ADORA1;ADORA1,5'UTR;5'UTR
cg27325224,-0.14,0.028,1.000,1.00,chr16,87946544,CA5A,Body
cg09639094,0.12,0.028,1.000,1.00,chr4,171010728,AADAT;AADAT,Body;Body
cg24020215,0.23,0.028,1.000,1.00,chr14,79748641,NRXN3;NRXN3;NRXN3,Body;Body;Body
cg25091458,0.13,0.028,1.000,1.00,chr3,190232250,IL1RAP;IL1RAP;IL1RAP;IL1RAP;IL1RAP;IL1RAP,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR
cg05388281,-0.80,0.028,1.000,1.00,chr4,125504,ZNF718,Body
cg27351783,0.16,0.028,1.000,1.00,chr5,112592733,MCC;MCC,Body;Body
cg14807682,-0.31,0.028,1.000,1.00,chr8,1440673,,
cg25901381,0.14,0.028,1.000,1.00,chr7,27225485,HOXA11AS;HOXA11,Body;TSS1500
cg24425171,0.10,0.028,1.000,1.00,chr2,25391711,POMC;POMC,TSS200;TSS200
cg14252488,0.09,0.028,1.000,1.00,chr1,245361403,KIF26B,Body
cg00759043,0.08,0.028,1.000,1.00,chr17,73894891,MRPL38,3'UTR
cg00745231,-0.11,0.028,1.000,1.00,chr14,94255361,PRIMA1,TSS1500
cg08056863,0.18,0.028,1.000,1.00,chr19,11266458,SPC24;SPC24,5'UTR;1stExon
cg22289662,0.12,0.028,1.000,1.00,chr6,33386397,CUTA;CUTA;SYNGAP1;CUTA;CUTA;CUTA,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500
cg05008344,0.09,0.028,1.000,1.00,chr6,129761564,LAMA2;LAMA2,Body;Body
cg02512226,0.11,0.028,1.000,1.00,chr10,28288192,ARMC4,TSS1500
cg25188975,0.15,0.028,1.000,1.00,chr12,99227115,ANKS1B;ANKS1B;ANKS1B,Body;Body;Body
cg22649187,0.10,0.028,1.000,1.00,chr11,69197324,,
cg16395712,0.11,0.028,1.000,1.00,chr17,8339139,NDEL1;NDEL1,TSS200;TSS200
cg14439249,0.13,0.028,1.000,1.00,chr6,12335852,,
cg15566506,0.15,0.028,1.000,1.00,chr1,111507004,C1orf103;C1orf103,TSS1500;TSS1500
cg26361892,-0.07,0.028,1.000,1.00,chr19,13067683,GADD45GIP1,1stExon
cg17183362,0.25,0.028,1.000,1.00,chr6,31804159,C6orf48;C6orf48;SNORD52,5'UTR;5'UTR;TSS1500
cg16711332,0.33,0.028,1.000,1.00,chr1,6531727,PLEKHG5;PLEKHG5;PLEKHG5;PLEKHG5;PLEKHG5,Body;Body;Body;Body;Body
cg09798536,-0.10,0.028,1.000,1.00,chr6,28457348,,
cg13222706,0.11,0.028,1.000,1.00,chr13,44363830,,
cg09104284,-0.19,0.028,1.000,1.00,chr16,90050102,AFG3L1;AFG3L1;AFG3L1,Body;Body;Body
cg23983436,-0.07,0.028,1.000,1.00,chr11,842963,TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;POLR2L;TSPAN4;TSPAN4;TSPAN4,TSS1500;1stExon;5'UTR;1stExon;5'UTR;5'UTR;TSS1500;TSS1500;5'UTR;5'UTR
cg18766847,0.15,0.028,1.000,1.00,chr2,135595627,ACMSD,TSS1500
cg03091027,0.08,0.028,1.000,1.00,chr6,28832496,,
cg01644731,-0.21,0.028,1.000,1.00,chr12,58236712,CTDSP2,Body
cg02402565,0.08,0.028,1.000,1.00,chr15,57590030,,
cg00463367,0.14,0.028,1.000,1.00,chr10,8103673,GATA3;GATA3,Body;Body
cg03866757,0.24,0.028,1.000,1.00,chr5,172484412,C5orf41;C5orf41;C5orf41,5'UTR;5'UTR;5'UTR
cg18256985,-0.38,0.028,1.000,1.00,chr5,1641876,,
cg16084872,0.09,0.028,1.000,1.00,chr21,42879074,TMPRSS2;TMPRSS2,Body;5'UTR
cg15170424,0.08,0.028,1.000,1.00,chr8,92052897,TMEM55A,1stExon
cg18740152,-0.09,0.028,1.000,1.00,chr19,9879674,ZNF846,TSS1500
cg01364621,0.10,0.028,1.000,1.00,chr1,2389638,,
cg04275490,0.15,0.028,1.000,1.00,chr4,54967423,GSX2,Body
cg15582661,0.14,0.028,1.000,1.00,chr12,98983694,,
cg09336671,0.11,0.028,1.000,1.00,chr16,10998610,CIITA,Body
cg21180685,0.21,0.028,1.000,1.00,chr8,67686852,SGK3;SGK3;SGK3,TSS1500;TSS1500;5'UTR
cg14473243,0.10,0.028,1.000,1.00,chr5,137514312,BRD8;BRD8;BRD8;KIF20A;BRD8;BRD8;BRD8,5'UTR;1stExon;5'UTR;TSS200;5'UTR;1stExon;1stExon
cg14127956,0.18,0.028,1.000,1.00,chr10,134672586,,
cg01755924,0.07,0.028,1.000,1.00,chr8,37160146,,
cg14488380,0.11,0.028,1.000,1.00,chr14,57732022,EXOC5,Body
cg02329029,0.08,0.028,1.000,1.00,chr22,18559261,PEX26;PEX26,TSS1500;TSS1500
cg19287349,0.15,0.028,1.000,1.00,chr15,63358260,TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1,3'UTR;Body;Body;Body;3'UTR;Body;Body
cg08831034,0.12,0.028,1.000,1.00,chr2,242138408,ANO7,Body
cg24599790,0.09,0.028,1.000,1.00,chr5,18972260,,
cg26287240,-0.08,0.028,1.000,1.00,chr13,76400715,LMO7;LMO7,Body;Body
cg20318156,-0.23,0.028,1.000,1.00,chr1,99469323,LPPR5;LPPR5,Body;Body
cg14711201,0.11,0.028,1.000,1.00,chr5,36152436,SKP2;SKP2;LMBRD2,Body;Body;TSS1500
cg15964523,0.21,0.028,1.000,1.00,chr11,66469143,SPTBN2,Body
cg23121203,0.10,0.028,1.000,1.00,chr5,90353937,GPR98;GPR98,Body;Body
cg13630131,0.07,0.028,1.000,1.00,chr7,25891154,,
cg12096759,0.18,0.028,1.000,1.00,chr14,96002581,GLRX5;SNHG10;SNHG10,Body;TSS1500;TSS1500
cg21898844,-0.07,0.028,1.000,1.00,chr14,89628169,FOXN3;FOXN3,3'UTR;3'UTR
cg20099005,-0.13,0.028,1.000,1.00,chr22,41956854,CSDC2,TSS200
cg01414289,0.07,0.028,1.000,1.00,chr12,94541990,PLXNC1,TSS1500
cg03715143,-0.14,0.028,1.000,1.00,chr6,19837743,ID4;ID4,1stExon;5'UTR
cg02910494,0.16,0.028,1.000,1.00,chr1,115826274,,
cg10445147,-0.10,0.028,1.000,1.00,chr16,50744420,NOD2,Body
cg05428781,0.09,0.028,1.000,1.00,chr5,154237537,CNOT8,TSS1500
cg14684917,-0.10,0.028,1.000,1.00,chr11,62380363,EML3;ROM1;ROM1,TSS200;1stExon;5'UTR
cg18716076,0.13,0.028,1.000,1.00,chr5,50677808,ISL1,TSS1500
cg04135806,0.09,0.028,1.000,1.00,chr16,644494,RAB40C,Body
cg24749672,0.09,0.028,1.000,1.00,chr12,51718108,BIN2,TSS200
cg16072030,-0.07,0.028,1.000,1.00,chr1,204381148,PPP1R15B,TSS1500
cg14672680,0.10,0.028,1.000,1.00,chr11,1859838,TNNI2;TNNI2,TSS1500;TSS1500
cg08457178,-0.09,0.028,1.000,1.00,chr6,30711636,IER3;FLOT1,3'UTR;TSS1500
cg04980504,-0.08,0.028,1.000,1.00,chr12,111021265,PPTC7,TSS1500
cg20142501,-0.11,0.028,1.000,1.00,chr17,791118,NXN,Body
cg19029220,-0.07,0.028,1.000,1.00,chr2,64067822,UGP2;UGP2,TSS1500;TSS1500
cg05401670,-0.17,0.028,1.000,1.00,chr11,70416309,SHANK2;SHANK2,Body;Body
cg15371806,0.13,0.028,1.000,1.00,chr6,168417634,KIF25;KIF25,TSS1500;TSS1500
cg17503744,0.14,0.028,1.000,1.00,chr8,140833817,TRAPPC9;TRAPPC9,Body;Body
cg18762243,-0.09,0.028,1.000,1.00,chr1,226925704,ITPKB,5'UTR
cg21248274,0.10,0.028,1.000,1.00,chr8,63162277,NKAIN3,Body
cg19478983,0.08,0.028,1.000,1.00,chr7,120590592,ING3;ING3,TSS1500;TSS1500
cg12964144,0.13,0.028,1.000,1.00,chr17,5974448,WSCD1,5'UTR
cg08477599,0.11,0.028,1.000,1.00,chr6,30654827,KIAA1949;KIAA1949;KIAA1949,5'UTR;5'UTR;1stExon
cg18407963,0.11,0.028,1.000,1.00,chr2,238417616,MLPH;MLPH,Body;Body
cg19483159,0.30,0.028,1.000,1.00,chr6,159066182,DYNLT1,TSS1500
cg06834313,0.21,0.028,1.000,1.00,chr12,108851556,,
cg01677545,-0.06,0.028,1.000,1.00,chr14,58619089,C14orf37,TSS1500
cg23513784,0.28,0.028,1.000,1.00,chr8,22550797,EGR3;EGR3,1stExon;5'UTR
cg03788004,0.12,0.028,1.000,1.00,chr12,102092168,CHPT1,Body
cg06330722,0.12,0.028,1.000,1.00,chr7,100201795,PCOLCE,Body
cg01725608,-0.12,0.028,1.000,1.00,chr7,120969666,WNT16;WNT16,Body;Body
cg25282780,0.13,0.028,1.000,1.00,chr9,4741505,AK3,TSS1500
cg04103514,-0.32,0.028,1.000,1.00,chr19,14889425,EMR2;EMR2;EMR2;EMR2;EMR2;EMR2;EMR2,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200
cg11113589,0.15,0.028,1.000,1.00,chr21,46898764,COL18A1;COL18A1;COL18A1,Body;Body;Body
cg27543571,0.08,0.028,1.000,1.00,chr1,222788795,,
cg23842006,-0.08,0.028,1.000,1.00,chr12,56543826,,
cg12940669,0.09,0.028,1.000,1.00,chr4,3231575,HTT,Body
cg27009812,0.15,0.028,1.000,1.00,chr16,3062597,CLDN9;CLDN9,1stExon;5'UTR
cg24717029,0.12,0.028,1.000,1.00,chr18,60384542,PHLPP1,Body
cg01403885,0.08,0.028,1.000,1.00,chr19,45742140,,
cg12077889,0.11,0.028,1.000,1.00,chr1,232703913,,
cg20707780,0.24,0.028,1.000,1.00,chr12,52301163,ACVRL1,TSS200
cg27003682,0.29,0.028,1.000,1.00,chr5,35617945,SPEF2;SPEF2,TSS200;TSS200
cg13813458,0.13,0.028,1.000,1.00,chr17,35085134,,
cg16353568,0.10,0.028,1.000,1.00,chr21,33641027,C21orf45,3'UTR
cg15871229,0.09,0.028,1.000,1.00,chr10,74451622,CCDC109A,TSS1500
cg25848076,0.10,0.028,1.000,1.00,chr1,166853812,,
cg05281544,0.09,0.028,1.000,1.00,chr6,21597055,SOX4;SOX4,3'UTR;1stExon
cg27445265,-0.12,0.028,1.000,1.00,chr10,127512028,BCCIP;UROS;BCCIP;BCCIP,TSS200;TSS200;TSS200;TSS200
cg13085980,0.09,0.028,1.000,1.00,chr12,94544425,PLXNC1,Body
cg25551168,0.10,0.028,1.000,1.00,chr20,3065343,AVP;AVP,5'UTR;1stExon
cg21957058,0.19,0.028,1.000,1.00,chr11,20626133,SLC6A5,Body
cg18175470,0.20,0.028,1.000,1.00,chr10,62150864,ANK3,TSS1500
cg24760961,0.08,0.028,1.000,1.00,chr11,130782216,SNX19,Body
cg21948027,-0.10,0.028,1.000,1.00,chr7,1809455,,
cg17110586,0.10,0.028,1.000,1.00,chr19,36454623,,
cg15125338,0.12,0.028,1.000,1.00,chr17,44899394,,
cg22379436,0.13,0.028,1.000,1.00,chr3,73789574,,
cg20178603,0.15,0.028,1.000,1.00,chr2,123819265,,
cg24258806,0.14,0.028,1.000,1.00,chr11,14380041,RRAS2;RRAS2,Body;TSS200
cg04425710,-0.15,0.028,1.000,1.00,chr8,27630920,ESCO2;CCDC25,TSS1500;TSS1500
cg00707741,0.12,0.028,1.000,1.00,chr2,242294482,FARP2,TSS1500
cg15107336,0.07,0.028,1.000,1.00,chr19,44079778,XRCC1,TSS200
cg25113081,-0.19,0.028,1.000,1.00,chr3,160156820,TRIM59,Body
cg22730042,0.14,0.028,1.000,1.00,chr21,44528293,U2AF1;U2AF1;U2AF1,TSS1500;TSS1500;TSS1500
cg16664394,0.10,0.028,1.000,1.00,chr5,54527671,CCNO,Body
cg19033037,0.11,0.028,1.000,1.00,chr7,103741048,,
cg12464233,-0.10,0.028,1.000,1.00,chr1,153940377,SLC39A1;CREB3L4,TSS200;TSS200
cg17481012,0.11,0.028,1.000,1.00,chr8,53578814,RB1CC1;RB1CC1,Body;Body
cg09152042,0.12,0.028,1.000,1.00,chr6,33383065,PHF1;PHF1;PHF1,Body;Body;Body
cg04499646,0.14,0.028,1.000,1.00,chr6,133529701,,
cg19650573,0.16,0.028,1.000,1.00,chr15,68623032,ITGA11,Body
cg05492270,-0.07,0.028,1.000,1.00,chr11,71640085,RNF121;LOC100133315;RNF121;RNF121;RNF121,Body;TSS1500;5'UTR;Body;1stExon
cg07230359,-0.17,0.028,1.000,1.00,chr16,86466427,,
cg03700944,0.08,0.028,1.000,1.00,chr6,46703468,PLA2G7;PLA2G7,TSS1500;TSS200
cg26632171,0.10,0.028,1.000,1.00,chr2,17997117,MSGN1,TSS1500
cg07571282,0.16,0.028,1.000,1.00,chr16,81295095,BCMO1,Body
cg22768700,0.11,0.028,1.000,1.00,chr2,127805770,BIN1;BIN1;BIN1;BIN1;BIN1;BIN1;BIN1;BIN1;BIN1;BIN1,3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR
cg00185839,-0.10,0.028,1.000,1.00,chr11,804954,LRDD;LRDD;LRDD,5'UTR;TSS1500;5'UTR
cg06616057,0.09,0.028,1.000,1.00,chr1,209848306,G0S2,TSS1500
cg06223466,0.17,0.028,1.000,1.00,chr7,4922708,RADIL,5'UTR
cg22819488,-0.13,0.028,1.000,1.00,chr3,28390286,AZI2;AZI2;AZI2;AZI2;AZI2;AZI2,1stExon;5'UTR;5'UTR;1stExon;5'UTR;1stExon
cg13016732,0.10,0.028,1.000,1.00,chr11,76858947,MYO7A;MYO7A;MYO7A,Body;Body;Body
cg13878136,0.20,0.028,1.000,1.00,chr1,61948305,,
cg25377468,0.09,0.028,1.000,1.00,chr2,27200226,MAPRE3,5'UTR
cg02218200,-0.12,0.028,1.000,1.00,chr22,51135138,SHANK3,Body
cg13277254,0.07,0.028,1.000,1.00,chr5,171333801,FBXW11;FBXW11;FBXW11,Body;Body;Body
cg09356124,-0.09,0.028,1.000,1.00,chr19,18256654,MAST3,Body
cg04364764,0.12,0.028,1.000,1.00,chr1,236106938,,
cg24960639,0.08,0.028,1.000,1.00,chr6,32173532,NOTCH4,Body
cg22943590,-0.19,0.028,1.000,1.00,chr2,66648797,,
cg26439139,0.16,0.028,1.000,1.00,chr5,155924786,SGCD;SGCD;SGCD,Body;Body;Body
cg02372856,-0.12,0.028,1.000,1.00,chr8,49340974,,
cg05997278,0.17,0.028,1.000,1.00,chr2,69304921,ANTXR1;ANTXR1;ANTXR1,Body;Body;Body
cg13572771,0.10,0.028,1.000,1.00,chr14,68871428,RAD51L1;RAD51L1;RAD51L1,Body;Body;Body
cg03960951,0.18,0.028,1.000,1.00,chr12,106976624,RFX4,TSS1500
cg02330683,0.15,0.028,1.000,1.00,chr15,41787940,ITPKA,Body
cg19471376,-0.13,0.028,1.000,1.00,chr17,900228,TIMM22,TSS200
cg08872713,-0.12,0.028,1.000,1.00,chr16,56716227,MT1X,TSS200
cg20107996,-0.25,0.028,1.000,1.00,chr4,12886669,,
cg10054262,-0.18,0.028,1.000,1.00,chr7,856283,UNC84A;UNC84A;UNC84A;UNC84A,1stExon;5'UTR;1stExon;5'UTR
cg18577231,-0.15,0.028,1.000,1.00,chr7,127743667,,
cg10419678,0.08,0.028,1.000,1.00,chr12,108523888,WSCD2,5'UTR
cg20465933,0.15,0.028,1.000,1.00,chr4,152376761,FAM160A1,5'UTR
cg10330839,-0.07,0.028,1.000,1.00,chr19,41115766,LTBP4;LTBP4;LTBP4,Body;Body;Body
cg23429240,0.20,0.028,1.000,1.00,chr12,109040983,CORO1C,3'UTR
cg20112079,0.14,0.028,1.000,1.00,chr10,135050142,VENTX,TSS1500
cg02066994,0.11,0.028,1.000,1.00,chr5,32313358,MTMR12,TSS1500
cg24556026,0.10,0.028,1.000,1.00,chr9,36258971,GNE;GNE,TSS1500;Body
cg16267579,0.10,0.028,1.000,1.00,chr12,76953818,OSBPL8;OSBPL8,TSS1500;TSS1500
cg14447887,0.09,0.028,1.000,1.00,chr8,117768111,EIF3H,TSS200
cg23762579,-0.25,0.028,1.000,1.00,chr10,134821210,,
cg13718961,-0.09,0.028,1.000,1.00,chr17,27939261,ANKRD13B,Body
cg23079063,0.13,0.028,1.000,1.00,chr10,28975991,,
cg06499484,0.17,0.028,1.000,1.00,chr2,182521882,CERKL;CERKL;CERKL;CERKL;CERKL;CERKL;CERKL,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200
cg16904585,0.10,0.028,1.000,1.00,chr16,10276119,GRIN2A;GRIN2A;GRIN2A;GRIN2A,5'UTR;5'UTR;TSS200;1stExon
cg12756244,0.10,0.028,1.000,1.00,chr4,152682679,PET112L,TSS1500
cg22143282,0.13,0.028,1.000,1.00,chr9,2016253,SMARCA2;SMARCA2,5'UTR;5'UTR
cg27231441,0.12,0.028,1.000,1.00,chr10,126281138,LHPP;LHPP,Body;Body
cg06810011,0.10,0.028,1.000,1.00,chr7,110562986,IMMP2L,Body
cg09317632,-0.10,0.028,1.000,1.00,chr19,58838370,ZSCAN22,TSS200
cg03577486,0.09,0.028,1.000,1.00,chr18,40113336,,
cg14522718,0.15,0.028,1.000,1.00,chr9,130868874,SLC25A25;SLC25A25;SLC25A25;SLC25A25,Body;Body;Body;Body
cg19901191,-0.08,0.028,1.000,1.00,chr1,33005091,ZBTB8A;ZBTB8A,1stExon;5'UTR
cg12034847,0.13,0.028,1.000,1.00,chr6,3280558,SLC22A23;SLC22A23,Body;Body
cg26971783,0.13,0.028,1.000,1.00,chr15,77857997,,
cg03157226,0.18,0.028,1.000,1.00,chr19,10654180,ATG4D,TSS1500
cg17101296,0.13,0.028,1.000,1.00,chr8,145925708,,
cg16516980,-0.11,0.028,1.000,1.00,chr11,1535048,HCCA2,Body
cg16015276,0.27,0.028,1.000,1.00,chr8,11550445,,
cg00052246,0.13,0.028,1.000,1.00,chr3,71106252,FOXP1,Body
cg09563102,0.14,0.028,1.000,1.00,chr2,47889,,
cg06409153,0.17,0.028,1.000,1.00,chr17,67323953,ABCA5,TSS1500
cg06796709,-0.14,0.028,1.000,1.00,chr16,84645176,COTL1,Body
cg02788637,-0.18,0.028,1.000,1.00,chr7,853229,,
cg19721680,0.26,0.028,1.000,1.00,chr1,244816665,PPPDE1,Body
cg03880814,0.09,0.028,1.000,1.00,chr1,236511046,,
cg27048527,0.08,0.028,1.000,1.00,chr11,71184503,NADSYN1,Body
cg16525215,-0.10,0.028,1.000,1.00,chr5,92603424,,
cg11025829,0.08,0.028,1.000,1.00,chr11,2465136,KCNQ1,TSS1500
cg06169495,0.14,0.028,1.000,1.00,chr11,23751628,,
cg06056563,0.11,0.028,1.000,1.00,chr16,1018000,LMF1,Body
cg23147393,0.11,0.028,1.000,1.00,chr10,133373133,,
cg16167524,0.15,0.028,1.000,1.00,chr17,47035958,GIP,3'UTR
cg13455842,0.18,0.028,1.000,1.00,chr9,714269,KANK1;KANK1,Body;Body
cg21084402,0.12,0.028,1.000,1.00,chr19,17336919,OCEL1,TSS200
cg19928450,0.10,0.028,1.000,1.00,chr12,54348629,HOXC12,TSS200
cg00252934,-0.10,0.028,1.000,1.00,chr3,36782736,DCLK3,TSS1500
cg18606619,0.11,0.028,1.000,1.00,chr4,38565294,,
cg24693704,0.13,0.028,1.000,1.00,chr1,16068067,TMEM82,TSS1500
cg01093854,-0.09,0.028,1.000,1.00,chr10,70362422,TET1,Body
cg15963714,-0.13,0.028,1.000,1.00,chr11,2017819,H19,Body
cg22512464,-0.16,0.028,1.000,1.00,chr15,65203907,ANKDD1A,TSS200
cg09042026,-0.34,0.028,1.000,1.00,chr8,104311079,FZD6;FZD6;FZD6;FZD6;FZD6,5'UTR;1stExon;1stExon;5'UTR;5'UTR
cg25677314,0.10,0.028,1.000,1.00,chr17,21192412,MAP2K3,Body
cg23219336,0.12,0.028,1.000,1.00,chr1,153175262,LELP1,TSS1500
cg11586890,0.08,0.028,1.000,1.00,chr6,33420227,SYNGAP1,3'UTR
cg06873514,-0.14,0.028,1.000,1.00,chr4,129724002,,
cg16527444,0.11,0.028,1.000,1.00,chr7,138364464,SVOPL,TSS1500
cg16720947,0.15,0.028,1.000,1.00,chr8,145048137,PLEC1;PLEC1,Body;TSS1500
cg08862564,-0.12,0.028,1.000,1.00,chr2,208395069,CREB1;CREB1,5'UTR;5'UTR
cg05412028,0.28,0.028,1.000,1.00,chr13,95952937,ABCC4;ABCC4,Body;Body
cg04752812,0.09,0.028,1.000,1.00,chr16,90014316,DEF8;DEF8,TSS1500;TSS1500
cg13833419,0.09,0.028,1.000,1.00,chr9,130890562,PTGES2;LOC389791;PTGES2;PTGES2,TSS200;TSS1500;Body;Body
cg08500112,-0.10,0.028,1.000,1.00,chr5,59086432,PDE4D;PDE4D,Body;Body
cg27520536,-0.18,0.028,1.000,1.00,chr16,54228323,,
cg22437074,0.08,0.028,1.000,1.00,chr2,45168924,SIX3,TSS200
cg00284420,-0.11,0.028,1.000,1.00,chr16,87311948,,
cg07786254,0.10,0.028,1.000,1.00,chr19,59085608,MZF1;MGC2752;LOC100131691;MZF1,TSS1500;TSS1500;Body;TSS1500
cg01607849,-0.12,0.028,1.000,1.00,chr12,6976129,TPI1;TPI1;TPI1,TSS1500;TSS1500;TSS1500
cg21205392,-0.10,0.028,1.000,1.00,chr1,151035398,MLLT11,5'UTR
cg00985388,-0.09,0.028,1.000,1.00,chr3,183952212,VWA5B2,Body
cg16589461,-0.12,0.028,1.000,1.00,chr11,134232083,GLB1L2,Body
cg18171855,0.22,0.028,1.000,1.00,chr10,2543474,,
cg24127244,0.09,0.028,1.000,1.00,chr3,133524572,SRPRB,TSS200
cg25282072,0.09,0.028,1.000,1.00,chr4,670347,MYL5,TSS1500
cg06896534,-0.24,0.028,1.000,1.00,chr4,95679808,BMPR1B,5'UTR
cg17866732,0.07,0.028,1.000,1.00,chr2,110372875,SEPT10;SEPT10;ANKRD57,TSS1500;TSS1500;1stExon
cg25827102,0.09,0.028,1.000,1.00,chr15,89880727,,
cg26708220,0.24,0.028,1.000,1.00,chr15,37387577,MEIS2;MEIS2;MEIS2;MEIS2;MEIS2;MEIS2;MEIS2,Body;Body;Body;Body;Body;Body;Body
cg19746874,0.10,0.028,1.000,1.00,chr1,33841170,PHC2;PHC2,5'UTR;1stExon
cg22218512,0.22,0.028,1.000,1.00,chr12,52308278,ACVRL1;ACVRL1,Body;Body
cg19143639,-0.16,0.028,1.000,1.00,chr8,66472813,,
cg09516200,0.20,0.028,1.000,1.00,chr17,78735324,RPTOR;RPTOR,Body;Body
cg09063977,0.09,0.028,1.000,1.00,chr22,24200205,SLC2A11;SLC2A11;SLC2A11,1stExon;Body;Body
cg03653399,0.16,0.028,1.000,1.00,chr8,142233436,SLC45A4,Body
cg21956318,0.12,0.028,1.000,1.00,chr18,44234815,LOXHD1,Body
cg07416975,0.12,0.028,1.000,1.00,chr4,699435,PCGF3,TSS200
cg21468939,0.11,0.028,1.000,1.00,chr17,58226730,CA4,TSS1500
cg09215936,-0.08,0.028,1.000,1.00,chr15,93588548,RGMA;RGMA;RGMA;RGMA;RGMA;RGMA,Body;Body;Body;Body;Body;Body
cg12304441,0.11,0.028,1.000,1.00,chr12,62653866,USP15,TSS1500
cg14315006,0.16,0.028,1.000,1.00,chr6,129823454,LAMA2;LAMA2,Body;Body
cg06935361,-0.12,0.028,1.000,1.00,chr13,32964454,BRCA2,Body
cg06749480,0.18,0.028,1.000,1.00,chr1,164774643,PBX1,Body
cg11002404,0.20,0.028,1.000,1.00,chr10,11060038,CUGBP2;CUGBP2;CUGBP2,5'UTR;1stExon;Body
cg10131657,0.25,0.028,1.000,1.00,chr8,110374585,PKHD1L1,TSS200
cg04616447,0.09,0.028,1.000,1.00,chr8,41348488,GOLGA7;GOLGA7,Body;Body
cg25389804,0.10,0.028,1.000,1.00,chr1,217077398,ESRRG;ESRRG;ESRRG,5'UTR;5'UTR;5'UTR
cg00647658,-0.13,0.028,1.000,1.00,chr16,54227814,,
cg08220149,-0.13,0.028,1.000,1.00,chr16,15766327,NDE1;NDE1,Body;Body
cg16970926,0.07,0.028,1.000,1.00,chr12,29381810,FAR2,5'UTR
cg21778229,0.14,0.028,1.000,1.00,chr4,125860482,,
cg04386642,0.09,0.028,1.000,1.00,chr20,59594954,,
cg13697378,0.08,0.028,1.000,1.00,chr1,68512845,DIRAS3,Body
cg16407699,0.19,0.028,1.000,1.00,chr10,74020428,,
cg18014844,0.07,0.028,1.000,1.00,chr1,55230402,PARS2,TSS1500
cg03489974,0.11,0.028,1.000,1.00,chr11,122846437,,
cg23835219,-0.18,0.028,1.000,1.00,chr4,1244017,CTBP1;CTBP1;C4orf42,TSS1500;TSS1500;TSS200
cg11053128,-0.10,0.028,1.000,1.00,chr2,61991421,,
cg05056653,0.15,0.028,1.000,1.00,chr17,81023856,,
cg14292424,0.09,0.028,1.000,1.00,chr9,33474983,SUGT1P1;NOL6;NOL6,Body;TSS1500;TSS1500
cg10959440,0.18,0.028,1.000,1.00,chr6,148701916,SASH1,Body
cg13508672,0.19,0.028,1.000,1.00,chr14,69161648,,
cg12411994,0.09,0.028,1.000,1.00,chr7,150017070,ACTR3C,5'UTR
cg00332680,0.13,0.028,1.000,1.00,chr10,74079303,,
cg16025584,0.10,0.028,1.000,1.00,chr9,139887217,C9orf142,Body
cg11030124,0.10,0.028,1.000,1.00,chr20,30994076,ASXL1,Body
cg01044331,0.11,0.028,1.000,1.00,chr12,2904352,FKBP4,1stExon
cg26273539,-0.11,0.028,1.000,1.00,chr10,134890406,,
cg06938878,0.26,0.028,1.000,1.00,chr11,15094364,CALCB,TSS1500
cg02056751,0.11,0.028,1.000,1.00,chr11,2320647,C11orf21;C11orf21,Body;3'UTR
cg10521034,0.10,0.028,1.000,1.00,chr1,2273958,MORN1,Body
cg20841906,0.17,0.028,1.000,1.00,chr3,160822911,B3GALNT1;B3GALNT1;B3GALNT1;B3GALNT1;B3GALNT1,5'UTR;5'UTR;5'UTR;5'UTR;TSS1500
cg07425824,-0.10,0.028,1.000,1.00,chr16,69451547,,
cg01861634,0.13,0.028,1.000,1.00,chr7,128530369,KCP;KCP,Body;Body
cg12455762,-0.19,0.028,1.000,1.00,chr4,40859095,APBB2;APBB2;APBB2;APBB2;APBB2;APBB2;APBB2;APBB2;APBB2;APBB2;APBB2,Body;5'UTR;5'UTR;5'UTR;1stExon;1stExon;5'UTR;Body;1stExon;Body;1stExon
cg09818588,-0.14,0.028,1.000,1.00,chr4,84406319,FAM175A,TSS200
cg18302225,0.19,0.028,1.000,1.00,chr5,55776401,,
cg21530419,-0.20,0.028,1.000,1.00,chr3,186490728,,
cg16807089,-0.18,0.028,1.000,1.00,chr7,143582499,FAM115A,5'UTR
cg01336862,0.07,0.028,1.000,1.00,chr19,8563373,PRAM1,Body
cg05532446,0.09,0.028,1.000,1.00,chr16,47173093,NETO2,Body
cg20695334,0.12,0.028,1.000,1.00,chr4,1005070,FGFRL1;FGFRL1;FGFRL1,TSS1500;TSS1500;TSS1500
cg22055932,0.10,0.028,1.000,1.00,chr19,10444017,RAVER1,1stExon
cg25410321,0.11,0.028,1.000,1.00,chr2,26098080,ASXL2,Body
cg22407504,0.12,0.028,1.000,1.00,chr11,1243090,MUC5B,TSS1500
